# case lines hole in_rows out_rows roof count
0 3 1007 1d0,2a8,9,3e3,24,342,44,109,1eb,267,131,2cf,1a3,18d,35f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3ef,3ef,3ef,1d0,2a8,9,3e3,24,342,44,109,1eb,267,131,2cf,1a3,18d,35f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 18 97
1 2 959 24c,270,2d8,24f,3fe,251,cd,332,b4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3bf,3bf,24c,270,2d8,24f,3fe,251,cd,332,b4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 12 65
2 3 895 17c,126,227,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 37f,37f,37f,17c,126,227,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 8 47
3 2 511 e,1fb,18a,1ae,be,219,3e6,276,204,f0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,1ff,e,1fb,18a,1ae,be,219,3e6,276,204,f0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 13 73
4 1 991 2cb,357,225,13f,35b,269,23a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3df,2cb,357,225,13f,35b,269,23a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 8 50
5 2 1021 203,149,ea,1c3,33c,7b,1b1,30a,b1,6b,22,3fc,10f,21,253,2b6,29a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3fd,3fd,203,149,ea,1c3,33c,7b,1b1,30a,b1,6b,22,3fc,10f,21,253,2b6,29a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 19 98
6 2 1019 15a,22c,17a,361,304,322,1dc,166,1ba,22c,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3fb,3fb,15a,22c,17a,361,304,322,1dc,166,1ba,22c,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 13 70
7 3 1007 37b,10,378,315,19e,1a9,2f1,d2,125,323,1a3,309,149,280,23e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3ef,3ef,3ef,37b,10,378,315,19e,1a9,2f1,d2,125,323,1a3,309,149,280,23e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 18 98
8 1 991 33,157,28f,3de,3a0,e0,145,ab,72,3a,1eb,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3df,33,157,28f,3de,3a0,e0,145,ab,72,3a,1eb,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 13 69
9 3 1022 21a,20f,24,3a4,3cd,1bc,367,3cf,e1,2e,28c,2a0,3bd,241,8c,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3fe,3fe,3fe,21a,20f,24,3a4,3cd,1bc,367,3cf,e1,2e,28c,2a0,3bd,241,8c,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 19 103
10 1 511 81,d9,115,2d5,1dc,38a,341,3a9,2a4,2ac,3e3,148,10e,133,c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,81,d9,115,2d5,1dc,38a,341,3a9,2a4,2ac,3e3,148,10e,133,c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 16 79
11 1 895 2ec,3ab,13a,3cf,1f6,31,399,3d6,358,38d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 37f,2ec,3ab,13a,3cf,1f6,31,399,3d6,358,38d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 11 69
12 2 767 3c0,a4,3e9,224,223,1e6,76,230,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 2ff,2ff,3c0,a4,3e9,224,223,1e6,76,230,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 11 57
13 4 1007 265,368,2d9,161,3fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3ef,3ef,3ef,3ef,265,368,2d9,161,3fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 9 64
14 2 959 61,1d3,2e3,179,3d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3bf,3bf,61,1d3,2e3,179,3d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 7 46
15 4 511 248,1da,130,32e,299,338,3b4,2aa,224,2f0,3d8,32c,282,2fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,1ff,1ff,1ff,248,1da,130,32e,299,338,3b4,2aa,224,2f0,3d8,32c,282,2fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 18 105
16 2 511 1b7,c9,2ed,1ea,6b,330,266,357,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,1ff,1b7,c9,2ed,1ea,6b,330,266,357,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 11 67
17 2 511 a7,33c,ba,386,27f,2cc,1c9,99,125,1a1,213,17c,143,2db,3ab,28c,3cc,5a,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,1ff,a7,33c,ba,386,27f,2cc,1c9,99,125,1a1,213,17c,143,2db,3ab,28c,3cc,5a,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 21 112
18 3 1015 d7,335,166,f,28,1ca,d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3f7,3f7,3f7,d7,335,166,f,28,1ca,d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 10 59
19 2 767 2db,380,12b,2c4,2a4,1c8,35,106,f8,199,33a,1d,3c2,2b4,3f3,244,bd,2fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 2ff,2ff,2db,380,12b,2c4,2a4,1c8,35,106,f8,199,33a,1d,3c2,2b4,3f3,244,bd,2fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 20 106
20 4 1019 21d,2bc,36a,3fc,e6,73,1f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3fb,3fb,3fb,3fb,21d,2bc,36a,3fc,e6,73,1f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 11 78
21 4 991 196,196,39,e6,315,10,15d,333,3fc,3e2,f3,250,21b,233,30b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3df,3df,3df,3df,196,196,39,e6,315,10,15d,333,3fc,3e2,f3,250,21b,233,30b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 19 111
22 1 1007 1c,3a,6b,29e,93,2b4,193,258,20d,2ef,117,1b2,1cc,171,3e9,182,0,3bc,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 3ef,1c,3a,6b,29e,93,2b4,193,258,20d,2ef,117,1b2,1cc,171,3e9,182,0,3bc,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 20 97
23 4 511 87,3c3,2c,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 1ff,1ff,1ff,1ff,87,3c3,2c,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 8 53
