# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
safe 0 I 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 O 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 S 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 Z 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 L 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 J 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
safe 0 T 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
eval 0 I 0 17 0 0 0 0 0 0 -5125.151266320 0 0 0 0 0 0 0 0 0 0
get 0 I 0 17 0 0 0 0 0 0 -5125.151266320 0 0 0 0 0 0 0 -273985626388.514648 -39555.250324 -273263335332.299011
eval 0 I 1 18 0 0 1 0 0 0 -5557.772230046 0 0 0 0 0 0 0 0 0 0
get 0 I 1 18 0 0 1 0 0 0 -5557.772230046 0 0 0 0 0 0 0 -273985626388.514648 -26370.166883 -273202349241.437164
eval 0 I 2 18 0 0 2 0 0 0 -5517.537782610 0 0 0 0 0 0 0 0 0 0
get 0 I 2 18 0 0 2 0 0 0 -5517.537782610 0 0 0 0 0 0 0 -273985626388.514648 -26370.166883 -273208019820.022705
eval 0 I 3 18 0 0 3 0 0 0 -5462.896689111 0 0 0 0 0 0 0 0 0 0
get 0 I 3 18 0 0 3 0 0 0 -5462.896689111 0 0 0 0 0 0 0 -273985626388.514648 -26370.166883 -273215720848.231903
eval 0 I 4 18 0 0 4 0 0 0 -5423.473354862 0 0 0 0 0 0 0 0 0 0
get 0 I 4 18 0 0 4 0 0 0 -5423.473354862 0 0 0 0 0 0 0 -273985626388.514648 -26370.166883 -273221277109.823883
eval 0 I 5 18 0 0 0 1 0 0 -5423.473354862 0 0 0 0 0 0 0 0 0 0
get 0 I 5 18 0 0 0 1 0 0 -5423.473354862 0 0 0 0 1 0 0 -273985626388.514648 -26370.166883 -273221277109.823883
eval 0 O -1 17 0 0 1 1 0 0 -5291.447098861 0 0 0 0 0 0 0 0 0 0
get 0 O -1 17 0 0 1 1 0 0 -5291.447098861 0 0 0 0 1 0 0 0.000000 -39555.250324 745728524.528628
eval 0 O 0 16 0 0 2 1 0 0 -5105.795412280 0 0 0 0 0 0 0 0 0 0
get 0 O 0 16 0 0 2 1 0 0 -5105.795412280 0 0 0 0 1 0 0 0.000000 -39555.250324 719563073.145954
eval 0 O 1 15 0 0 3 1 0 0 -5102.447410506 0 0 0 0 0 0 0 0 0 0
