# board t x y r type flags is_check is_last_rotate is_ready is_mini_ready
0 I 0 17 0 0 0 0 0 0 0
0 I 1 18 0 0 0 0 0 0 0
0 I 2 18 0 0 0 0 0 0 0
0 I 3 18 0 0 0 0 0 0 0
0 I 4 18 0 0 0 0 0 0 0
0 I 5 18 0 0 0 0 0 0 0
0 I 6 18 0 0 0 0 0 0 0
0 I -1 19 3 0 0 0 0 0 0
0 I 0 18 3 0 0 0 0 0 0
0 I 1 12 3 0 0 0 0 0 0
0 I 2 17 3 0 0 0 0 0 0
0 I 3 20 3 0 0 0 0 0 0
0 I 4 20 3 0 0 0 0 0 0
0 I 5 19 3 0 0 0 0 0 0
0 I 6 20 3 0 0 0 0 0 0
0 I 7 20 3 0 0 0 0 0 0
0 I 8 16 3 0 0 0 0 0 0
0 O -1 17 0 0 0 0 0 0 0
0 O 0 16 0 0 0 0 0 0 0
0 O 1 15 0 0 0 0 0 0 0
0 O 2 18 0 0 0 0 0 0 0
0 O 3 18 0 0 0 0 0 0 0
0 O 4 18 0 0 0 0 0 0 0
0 O 5 18 0 0 0 0 0 0 0
0 O 6 18 0 0 0 0 0 0 0
0 O 7 18 0 0 0 0 0 0 0
0 S 0 17 0 0 0 0 0 0 0
0 S 1 16 0 0 0 0 0 0 0
0 S 2 17 0 0 0 0 0 0 0
0 S 3 18 0 0 0 0 0 0 0
0 S 4 18 0 0 0 0 0 0 0
0 S 5 18 0 0 0 0 0 0 0
0 S 6 18 0 0 0 0 0 0 0
0 S 7 18 0 0 0 0 0 0 0
0 S 0 17 3 0 0 0 0 0 0
0 S 1 16 3 0 0 0 0 0 0
0 S 2 16 3 0 0 0 0 0 0
0 S 3 19 3 0 0 0 0 0 0
0 S 4 19 3 0 0 0 0 0 0
0 S 5 18 3 0 0 0 0 0 0
0 S 6 19 3 0 0 0 0 0 0
0 S 7 19 3 0 0 0 0 0 0
0 S 8 18 3 0 0 0 0 0 0
0 Z 0 16 0 0 0 0 0 0 0
0 Z 1 15 0 0 0 0 0 0 0
0 Z 2 18 0 0 0 0 0 0 0
0 Z 3 18 0 0 0 0 0 0 0
0 Z 4 18 0 0 0 0 0 0 0
0 Z 5 18 0 0 0 0 0 0 0
0 Z 6 18 0 0 0 0 0 0 0
0 Z 7 18 0 0 0 0 0 0 0
0 Z 0 18 3 0 0 0 0 0 0
0 Z 1 17 3 0 0 0 0 0 0
0 Z 2 15 3 0 0 0 0 0 0
0 Z 3 18 3 0 0 0 0 0 0
0 Z 4 19 3 0 0 0 0 0 0
0 Z 5 19 3 0 0 0 0 0 0
0 Z 6 18 3 0 0 0 0 0 0
0 Z 7 19 3 0 0 0 0 0 0
0 Z 8 19 3 0 0 0 0 0 0
0 L 0 17 0 0 0 0 0 0 0
0 L 1 16 0 0 0 0 0 0 0
0 L 2 18 0 0 0 0 0 0 0
0 L 3 18 0 0 0 0 0 0 0
0 L 4 18 0 0 0 0 0 0 0
0 L 5 18 0 0 0 0 0 0 0
0 L 6 18 0 0 0 0 0 0 0
0 L 7 18 0 0 0 0 0 0 0
0 L 0 17 3 0 0 0 0 0 0
0 L 1 15 3 0 0 0 0 0 0
0 L 2 16 3 0 0 0 0 0 0
0 L 3 19 3 0 0 0 0 0 0
0 L 4 19 3 0 0 0 0 0 0
0 L 5 18 3 0 0 0 0 0 0
0 L 6 19 3 0 0 0 0 0 0
0 L 7 19 3 0 0 0 0 0 0
0 L 8 17 3 0 0 0 0 0 0
0 L 0 18 2 0 0 0 0 0 0
0 L 1 17 2 0 0 0 0 0 0
0 L 2 18 2 0 0 0 0 0 0
0 L 3 18 2 0 0 0 0 0 0
0 L 4 19 2 0 0 0 0 0 0
0 L 5 19 2 0 0 0 0 0 0
0 L 6 18 2 0 0 0 0 0 0
0 L 7 19 2 0 0 0 0 0 0
0 L -1 18 1 0 0 0 0 0 0
0 L 0 17 1 0 0 0 0 0 0
0 L 1 16 1 0 0 0 0 0 0
0 L 2 19 1 0 0 0 0 0 0
0 L 3 19 1 0 0 0 0 0 0
0 L 4 19 1 0 0 0 0 0 0
0 L 5 19 1 0 0 0 0 0 0
0 L 6 19 1 0 0 0 0 0 0
0 L 7 19 1 0 0 0 0 0 0
0 J 0 17 0 0 0 0 0 0 0
0 J 1 16 0 0 0 0 0 0 0
0 J 2 18 0 0 0 0 0 0 0
0 J 3 18 0 0 0 0 0 0 0
0 J 4 18 0 0 0 0 0 0 0
0 J 5 18 0 0 0 0 0 0 0
0 J 6 18 0 0 0 0 0 0 0
0 J 7 18 0 0 0 0 0 0 0
0 J 0 18 3 0 0 0 0 0 0
0 J 1 17 3 0 0 0 0 0 0
0 J 2 16 3 0 0 0 0 0 0
0 J 3 19 3 0 0 0 0 0 0
0 J 4 19 3 0 0 0 0 0 0
0 J 5 19 3 0 0 0 0 0 0
0 J 6 19 3 0 0 0 0 0 0
0 J 7 19 3 0 0 0 0 0 0
0 J 8 19 3 0 0 0 0 0 0
