# board x y r search_type last_rotate clear classify
0 3 18 0 0 0 0 0
0 3 18 0 0 0 1 0
0 3 18 0 0 1 0 0
0 3 18 0 0 1 1 0
0 3 19 2 0 0 0 0
0 3 19 2 0 0 1 0
0 3 19 2 0 1 0 0
0 3 19 2 0 1 1 0
0 3 19 3 0 0 0 0
0 3 19 3 0 0 1 0
0 3 19 3 0 1 0 0
0 3 19 3 0 1 1 0
0 3 19 1 0 0 0 0
0 3 19 1 0 0 1 0
0 3 19 1 0 1 0 0
0 3 19 1 0 1 1 0
0 2 18 0 0 0 0 0
0 2 18 0 0 0 1 0
0 2 18 0 0 1 0 0
0 2 18 0 0 1 1 0
0 4 18 0 0 0 0 0
0 4 18 0 0 0 1 0
0 4 18 0 0 1 0 0
0 4 18 0 0 1 1 0
0 4 19 3 0 0 0 0
0 4 19 3 0 0 1 0
0 4 19 3 0 1 0 0
0 4 19 3 0 1 1 0
0 2 18 1 0 0 0 0
0 2 18 1 0 0 1 0
0 2 18 1 0 1 0 0
0 2 18 1 0 1 1 0
0 4 19 2 0 0 0 0
0 4 19 2 0 0 1 0
0 4 19 2 0 1 0 0
0 4 19 2 0 1 1 0
0 4 19 1 0 0 0 0
0 4 19 1 0 0 1 0
0 4 19 1 0 1 0 0
0 4 19 1 0 1 1 0
0 2 18 2 0 0 0 0
0 2 18 2 0 0 1 0
0 2 18 2 0 1 0 0
0 2 18 2 0 1 1 0
0 5 18 0 0 0 0 0
0 5 18 0 0 0 1 0
0 5 18 0 0 1 0 0
0 5 18 0 0 1 1 0
0 5 18 3 0 0 0 0
0 5 18 3 0 0 1 0
0 5 18 3 0 1 0 0
0 5 18 3 0 1 1 0
0 6 18 0 0 0 0 0
0 6 18 0 0 0 1 0
0 6 18 0 0 1 0 0
0 6 18 0 0 1 1 0
0 5 18 2 0 0 0 0
0 5 18 2 0 0 1 0
0 5 18 2 0 1 0 0
0 5 18 2 0 1 1 0
0 5 18 1 0 0 0 0
0 5 18 1 0 0 1 0
0 5 18 1 0 1 0 0
0 5 18 1 0 1 1 0
0 6 19 3 0 0 0 0
0 6 19 3 0 0 1 0
0 6 19 3 0 1 0 0
0 6 19 3 0 1 1 0
0 6 19 2 0 0 0 0
0 6 19 2 0 0 1 0
0 6 19 2 0 1 0 0
0 6 19 2 0 1 1 0
0 6 19 1 0 0 0 0
0 6 19 1 0 0 1 0
0 6 19 1 0 1 0 0
0 6 19 1 0 1 1 0
0 1 16 0 0 0 0 0
0 1 16 0 0 0 1 0
0 1 16 0 0 1 0 0
0 1 16 0 0 1 1 0
0 0 17 0 0 0 0 0
0 0 17 0 0 0 1 0
0 0 17 0 0 1 0 0
0 0 17 0 0 1 1 0
0 2 16 3 0 0 0 0
0 2 16 3 0 0 1 0
0 2 16 3 0 1 0 0
0 2 16 3 0 1 1 0
0 7 18 0 0 0 0 0
0 7 18 0 0 0 1 0
0 7 18 0 0 1 0 0
0 7 18 0 0 1 1 0
0 7 19 3 0 0 0 0
0 7 19 3 0 0 1 0
0 7 19 3 0 1 0 0
0 7 19 3 0 1 1 0
0 0 17 1 0 0 0 0
0 0 17 1 0 0 1 0
0 0 17 1 0 1 0 0
0 0 17 1 0 1 1 0
0 -1 18 1 0 0 0 0
0 -1 18 1 0 0 1 0
0 -1 18 1 0 1 0 0
0 -1 18 1 0 1 1 0
0 7 19 2 0 0 0 0
0 7 19 2 0 0 1 0
0 7 19 2 0 1 0 0
0 7 19 2 0 1 1 0
0 7 19 1 0 0 0 0
0 7 19 1 0 0 1 0
0 7 19 1 0 1 0 0
0 7 19 1 0 1 1 0
0 1 16 2 0 0 0 0
0 1 16 2 0 0 1 0
0 1 16 2 0 1 0 0
0 1 16 2 0 1 1 0
0 1 16 3 0 0 0 0
0 1 16 3 0 0 1 0
0 1 16 3 0 1 0 0
0 1 16 3 0 1 1 0
0 0 17 2 0 0 0 0
0 0 17 2 0 0 1 0
0 0 17 2 0 1 0 0
0 0 17 2 0 1 1 0
0 0 17 3 0 0 0 0
0 0 17 3 0 0 1 0
0 0 17 3 0 1 0 0
0 0 17 3 0 1 1 0
0 2 16 1 0 0 0 0
0 2 16 1 0 0 1 0
0 2 16 1 0 1 0 0
0 2 16 1 0 1 1 0
0 2 16 2 0 0 0 0
0 2 16 2 0 0 1 0
0 2 16 2 0 1 0 0
0 2 16 2 0 1 1 0
0 8 18 3 0 0 0 0
0 8 18 3 0 0 1 0
0 8 18 3 0 1 0 0
0 8 18 3 0 1 1 1
0 1 15 1 0 0 0 0
0 1 15 1 0 0 1 0
0 1 15 1 0 1 0 0
0 1 15 1 0 1 1 0
0 2 15 0 0 0 0 0
0 2 15 0 0 0 1 0
0 2 15 0 0 1 0 0
0 2 15 0 0 1 1 0
0 3 16 2 0 0 0 0
0 3 16 2 0 0 1 0
0 3 16 2 0 1 0 0
0 3 16 2 0 1 1 0
1 3 9 0 0 0 0 0
1 3 9 0 0 0 1 0
1 3 9 0 0 1 0 0
1 3 9 0 0 1 1 0
1 4 9 0 0 0 0 0
1 4 9 0 0 0 1 0
1 4 9 0 0 1 0 0
1 4 9 0 0 1 1 0
1 3 9 2 0 0 0 0
1 3 9 2 0 0 1 0
1 3 9 2 0 1 0 0
1 3 9 2 0 1 1 0
1 3 9 3 0 0 0 0
1 3 9 3 0 0 1 0
1 3 9 3 0 1 0 0
1 3 9 3 0 1 1 0
1 3 9 1 0 0 0 0
1 3 9 1 0 0 1 0
1 3 9 1 0 1 0 0
1 3 9 1 0 1 1 0
1 4 10 2 0 0 0 0
1 4 10 2 0 0 1 0
1 4 10 2 0 1 0 0
1 4 10 2 0 1 1 0
1 4 10 3 0 0 0 0
1 4 10 3 0 0 1 0
1 4 10 3 0 1 0 0
1 4 10 3 0 1 1 0
1 4 10 1 0 0 0 0
1 4 10 1 0 0 1 0
1 4 10 1 0 1 0 0
1 4 10 1 0 1 1 0
1 2 8 0 0 0 0 0
1 2 8 0 0 0 1 0
1 2 8 0 0 1 0 0
1 2 8 0 0 1 1 0
1 2 9 2 0 0 0 0
1 2 9 2 0 0 1 0
1 2 9 2 0 1 0 0
1 2 9 2 0 1 1 0
1 2 9 3 0 0 0 0
1 2 9 3 0 0 1 0
1 2 9 3 0 1 0 0
1 2 9 3 0 1 1 0
1 2 9 1 0 0 0 0
1 2 9 1 0 0 1 0
1 2 9 1 0 1 0 0
1 2 9 1 0 1 1 0
1 5 9 0 0 0 0 0
1 5 9 0 0 0 1 0
1 5 9 0 0 1 0 0
1 5 9 0 0 1 1 0
1 5 10 3 0 0 0 0
1 5 10 3 0 0 1 0
1 5 10 3 0 1 0 0
1 5 10 3 0 1 1 0
1 5 10 2 0 0 0 0
1 5 10 2 0 0 1 0
1 5 10 2 0 1 0 0
1 5 10 2 0 1 1 0
1 5 10 1 0 0 0 0
1 5 10 1 0 0 1 0
1 5 10 1 0 1 0 0
1 5 10 1 0 1 1 0
1 1 8 0 0 0 0 0
1 1 8 0 0 0 1 0
1 1 8 0 0 1 0 0
1 1 8 0 0 1 1 0
