# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'cycles:u'
# Event count (approx.): 48256228831
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    15.62%  [.] toj_policy::Policy::evaluate(tetris::Board const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
    10.26%  [.] tetris_engine::Engine::materialize(tetris_engine::Child const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     6.80%  [.] tetris_engine::Engine::promote(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     6.62%  [.] toj_policy::Policy::transition_known_lockout(reachability::block_type, tetris::Candidate, tetris::Outcome, tetris::Board const&, toj_policy::State const&, tetris::DecisionContext const&, toj_policy::Evaluation const&, bool, int) const [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     6.47%  [.] _ZN13tetris_engine6Engine23expand_source_for_blockIXtlN12reachability5blockINS2_7details10tuple_implISt16integer_sequenceImJLm0ELm1ELm2ELm3EEEJNS5_IS7_JNS5_IS6_ImJLm0ELm1EEEJiiEEES9_S9_S9_EEESA_SA_SA_EEENS5_IS7_JNS5_IS8_JiS9_EEESC_SC_SC_EEENS5_IS6_ImJLm0ELm1ELm2ELm3ELm4ELm5ELm6ELm7ELm8ELm9ELm10ELm11EEEJNS5_IS8_JS9_NS5_IS6_ImJLm0ELm1ELm2ELm3ELm4EEEJS9_S9_S9_S9_S9_EEEEEESH_NS5_IS8_JS9_NS5_IS6_ImJLm0EEEJS9_EEEEEESH_SH_SK_SH_SH_SK_SH_SH_SK_EEEXtlNS2_8piece_idELm84EEEEEtlSB_tlNS4_10tuple_leafILm0ESA_EEtlSA_tlNSO_ILm0ES9_EEtlS9_tlNSO_ILm0EiEELin1EEEEtlNSO_ILm1ES9_EEEtlNSO_ILm2ES9_EEtlS9_tlSR_Li1EEEEtlNSO_ILm3ES9_EEtlS9_tlSR_EtlNSO_ILm1EiEELi1EEEEEEtlNSO_ILm1ESA_EEtlSA_tlSQ_tlS9_tlSR_EtlSV_Li1EEEEtlSS_EtlST_tlS9_tlSR_EtlSV_Lin1EEEEtlSU_tlS9_tlSR_Li1EEEEEEtlNSO_ILm2ESA_EEtlSA_tlSQ_tlS9_tlSR_Li1EEEEtlSS_EtlST_tlS9_tlSR_Lin1EEEEtlSU_tlS9_tlSR_EtlSV_Lin1EEEEEEtlNSO_ILm3ESA_EEtlSA_tlSQ_tlS9_tlSR_EtlSV_Lin1EEEEtlSS_EtlST_tlS9_tlSR_EtlSV_Li1EEEEtlSU_tlS9_tlSR_Lin1EEEEEEEtlSD_tlNSO_ILm0ESC_EEEtlNSO_ILm1ESC_EEtlSC_tlSR_Li1EEEEtlNSO_ILm2ESC_EEtlSC_tlSR_Li2EEEEtlNSO_ILm3ESC_EEtlSC_tlSR_Li3EEEEEtlSL_tlNSO_ILm0ESH_EEtlSH_tlSQ_tlS9_tlSR_EtlSV_Li1EEEEtlNSO_ILm1ESG_EEtlSG_tlSQ_EtlSS_tlS9_tlSR_Lin1EEEEtlST_tlS9_tlSR_Lin1EEtlSV_Li1EEEEtlSU_tlS9_tlSR_EtlSV_Lin2EEEEtlNSO_ILm4ES9_EEtlS9_tlSR_Lin1EEtlSV_Lin2EEEEEEEEtlNSO_ILm1ESH_EEtlSH_tlSQ_tlS9_tlSR_EtlSV_Li3EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Li1EEEEtlST_tlS9_tlSR_Li1EEtlSV_Li1EEEEtlSU_tlS9_tlSR_EtlSV_Lin2EEEEtlS15_tlS9_tlSR_Li1EEtlSV_Lin2EEEEEEEEtlNSO_ILm2ESK_EEtlSK_tlSQ_tlS9_tlSR_EtlSV_Li2EEEEEEtlNSO_ILm3ESH_EEtlSH_tlSQ_tlS9_tlSR_Li1EEtlSV_Li2EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Li1EEEEtlST_tlS9_tlSR_Li1EEtlSV_Lin1EEEEtlSU_tlS9_tlSR_EtlSV_Li2EEEEtlS15_tlS9_tlSR_Li1EEtlSV_Li2EEEEEEEEtlNSO_ILm4ESH_EEtlSH_tlSQ_tlS9_tlSR_Li1EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Li1EEEEtlST_tlS9_tlSR_Li1EEtlSV_Lin1EEEEtlSU_tlS9_tlSR_EtlSV_Li2EEEEtlS15_tlS9_tlSR_Li1EEtlSV_Li2EEEEEEEEtlNSO_ILm5ESK_EEtlSK_tlSQ_tlS9_tlSR_Li1EEtlSV_Li3EEEEEEtlNSO_ILm6ESH_EEtlSH_tlSQ_tlS9_tlSR_Li2EEtlSV_Li3EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Li1EEEEtlST_tlS9_tlSR_Li1EEtlSV_Li1EEEEtlSU_tlS9_tlSR_EtlSV_Lin2EEEEtlS15_tlS9_tlSR_Li1EEtlSV_Lin2EEEEEEEEtlNSO_ILm7ESH_EEtlSH_tlSQ_tlS9_tlSR_Li2EEtlSV_Li1EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Lin1EEEEtlST_tlS9_tlSR_Lin1EEtlSV_Li1EEEEtlSU_tlS9_tlSR_EtlSV_Lin2EEEEtlS15_tlS9_tlSR_Lin1EEtlSV_Lin2EEEEEEEEtlNSO_ILm8ESK_EEtlSK_tlSQ_tlS9_tlSR_Li2EEEEEEtlNSO_ILm9ESH_EEtlSH_tlSQ_tlS9_tlSR_Li3EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Lin1EEEEtlST_tlS9_tlSR_Lin1EEtlSV_Lin1EEEEtlSU_tlS9_tlSR_EtlSV_Li2EEEEtlS15_tlS9_tlSR_Lin1EEtlSV_Li2EEEEEEEEtlNSO_ILm10ESH_EEtlSH_tlSQ_tlS9_tlSR_Li3EEtlSV_Li2EEEEtlS14_tlSG_tlSQ_EtlSS_tlS9_tlSR_Lin1EEEEtlST_tlS9_tlSR_Lin1EEtlSV_Lin1EEEEtlSU_tlS9_tlSR_EtlSV_Li2EEEEtlS15_tlS9_tlSR_Lin1EEtlSV_Li2EEEEEEEEtlNSO_ILm11ESK_EEtlSK_tlSQ_tlS9_tlSR_Li3EEtlSV_Li1EEEEEEEEEEEbjRKNS_4NodeENS2_10block_typeENS_12BranchSourceENS_9HoldStateEmSt4spanIKS1K_Lm18446744073709551615EERSt6vectorINS_5ChildESaIS1R_EE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
