# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles:u'
# Event count (approx.): 46501907673
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    22.53%  [.] search_tspin::Search::search(m_tetris::TetrisMap const&, m_tetris::TetrisNode const*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
    15.88%  [.] void m_tetris::TetrisCore<(anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::eval<m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch> >(m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::Context*, m_tetris::TetrisMap&, search_tspin::Search::TetrisNodeWithTSpinType&, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
    15.03%  [.] m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>* m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::build_children<true>(m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::Context*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
    14.89%  [.] m_tetris::TetrisEngine<rule_toj::TetrisRule, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::run_hold(m_tetris::TetrisMap const&, m_tetris::TetrisNode const*, char, bool, char const*, unsigned long, m_tetris::SearchBudget) [clone .constprop.0] [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     7.18%  [.] ai_zzz::TOJ::Status::init_t_value(m_tetris::TetrisMap const&, short&, short&, m_tetris::TetrisMap*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     6.39%  [.] m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::search(m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::Context*, m_tetris::TetrisNode const*, m_tetris::TetrisNode const*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     5.01%  [.] m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::Context::alloc(m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     4.75%  [.] m_tetris::TetrisNode::attach(m_tetris::TetrisContext const*, m_tetris::TetrisMap&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     3.59%  [.] ai_zzz::TOJ::eval(search_tspin::Search::TetrisNodeWithTSpinType const&, m_tetris::TetrisMap const&, m_tetris::TetrisMap const&) const [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.72%  [.] m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::search(m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>::Context*, m_tetris::TetrisNode const*, bool) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.80%  [.] 0x00000000001b7fd3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.60%  [.] m_tetris::TetrisNode::drop(m_tetris::TetrisMap const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
