corpus	piece	cases	s1_prepacked_raw_bfs_ns_per_call	s1x_prep_only_ns_per_call	s2_workspace_arrival_extraction_ns_per_call	s3_full_production_enumeration_ns_per_call	s4_legacy_search_prepared_import_ns_per_call	s4i_legacy_search_import_inclusive_ns_per_call	s5_adapter_conversion_pose_resolution_ns_per_call	ordered_candidate_digest_hex16
c1	T	33	93.3	0.7	177.5	728.0	3138.0	2576.8	881.8	93f2ec9fc1f6e64c
c1	Z	33	98.7	0.7	216.6	797.0	620.4	692.4	839.8	6c30c09397bf6b87
c1	S	33	93.6	0.8	203.9	742.9	809.4	864.8	787.0	1580c224c420993a
c1	J	33	97.8	0.7	211.5	846.2	697.6	758.9	969.1	553c932559f6257f
c1	L	33	90.8	0.7	186.5	750.9	742.7	800.8	845.4	8574485920579ba6
c1	O	33	34.6	0.7	42.5	170.1	70.9	197.8	190.2	403986c1ba717fe4
c1	I	33	116.5	0.7	273.1	844.5	1084.3	1131.5	902.1	6caeaa8c14cd969f
c2	T	105122	160.0	3.1	283.2	1126.0	8120.7	6592.0	1440.4	4b593052cd6d75fd
c2	Z	105122	163.3	2.9	319.1	1103.6	424.5	512.7	1161.4	83febf532ec0659f
c2	S	105122	163.4	3.1	317.9	1093.2	413.9	522.0	1161.6	a966b74a647fcdb2
c2	J	105122	154.8	2.9	304.6	1123.4	531.6	632.9	1315.5	0f1920259378bb45
c2	L	105122	158.1	3.0	316.6	1136.3	507.0	608.9	1290.2	b795bb390c13a5b1
c2	O	105122	94.9	2.9	100.2	211.8	132.0	222.5	244.1	8589cc26ddda06b4
c2	I	105122	174.9	2.8	370.0	1069.6	529.5	638.0	1147.5	16e02c38003ca92a
