move	kind	widening	parents	enum_calls	raw	unique	rule_apps	policy_trans	materialized	merges	refused	exhausted	pending	trans_used
0	P	63	463	877	49220	26956	26956	20057	20048	9	14	0	19586	20048
1	P	58	415	785	47129	30332	30332	20579	20506	73	13	0	20092	20506
2	P	54	380	718	44816	29733	29733	20693	20551	142	12	0	20172	20551
3	P	47	352	667	40804	29846	29846	21006	19969	1037	10	0	19618	19969
4	P	47	361	685	43941	29238	29238	21154	20013	1141	10	0	19653	20013
5	P	52	393	745	44611	27778	27778	20986	20981	5	11	0	20589	20981
6	P	57	441	838	49459	26064	26064	21511	21509	2	13	0	21069	21509
7	P	70	527	999	57603	25282	25282	21078	21078	0	15	0	20552	21078
8	P	54	493	948	54880	26127	26127	20762	20758	4	18	0	20266	20758
9	P	56	485	931	55452	26310	26310	20641	20623	18	19	0	20139	20623
10	P	60	509	976	55805	25783	25783	21250	20933	317	20	0	20425	20933
11	P	57	493	946	56663	26468	26468	21817	21335	482	19	0	20843	21335
12	P	56	486	933	55451	25134	25134	21938	21205	733	19	0	20720	21205
13	P	66	565	1084	62926	22779	22779	21647	21534	113	23	0	20970	21534
14	P	83	692	1326	71113	23191	23191	23191	23098	93	28	0	22407	23098
15	P	80	652	1248	69396	22353	22353	22353	21905	448	27	0	21254	21905
16	P	76	613	1173	66513	21464	21464	21464	21421	43	26	0	20809	21421
17	P	75	614	1175	68086	21519	21519	21519	21352	167	25	0	20739	21352
18	P	69	585	1121	63567	21938	21938	21938	21630	308	23	0	21046	21630
19	P	65	538	1030	62331	21099	21099	21099	20802	297	22	0	20265	20802
20	P	59	485	928	57333	24506	24506	21688	21452	236	19	0	20968	21452
21	P	52	438	839	53419	25241	25241	21196	20958	238	17	0	20521	20958
22	P	54	454	870	51651	27229	27229	21598	21337	261	18	0	20884	21337
23	P	56	485	931	53883	31986	31986	22984	22642	342	19	0	22158	22642
24	P	56	502	965	55839	35255	35255	24540	24012	528	19	0	23511	24012
25	P	64	546	1047	58549	34259	34259	24942	24670	272	22	0	24125	24670
26	P	68	596	1144	61063	32887	32887	25776	25524	252	23	0	24929	25524
27	P	72	608	1165	64069	32712	32712	26744	26639	105	24	0	26032	26639
28	P	76	613	1173	71132	31427	31427	27092	25749	1343	26	0	25137	25749
29	P	84	693	1327	75939	30100	30100	26920	25307	1613	29	0	24615	25307
30	P	100	815	1560	90053	28698	28698	28698	26394	2304	34	0	25580	26394
31	P	84	700	1341	78616	26967	26967	26967	24943	2024	29	0	24244	24943
32	P	81	678	1299	74805	26453	26453	26453	26375	78	27	0	25698	26375
33	P	84	699	1339	75363	28366	28366	26118	26083	35	29	0	25385	26083
34	P	76	622	1191	66784	27869	27869	25422	24922	500	26	0	24301	24922
35	P	72	584	1117	65180	30097	30097	27265	27007	258	24	0	26424	27007
