input_id,hash40,piece,source,nCV,nCL,deltaC,a_t,b_t,c1_t_V,c1_t_L,dVt,dLt,ood,ok
0,310ea34061520363,J,0,34,34,0,0,0,0,0,0,0,0,1
1,310ea34061520363,I,1,17,17,0,0,0,0,0,0,0,0,1
2,ab03e4f0390a9e5f,I,0,17,17,0,0,0,0,0,0,0,0,1
3,ab03e4f0390a9e5f,Z,1,17,17,0,0,0,0,0,0,0,0,1
4,b1523753cb3bf863,I,0,17,17,0,0,0,0,0,0,0,0,1
5,b1523753cb3bf863,Z,1,17,17,0,0,0,0,0,0,0,0,1
6,bb8c5160f334fd63,I,0,17,17,0,0,0,0,0,0,0,0,1
7,bb8c5160f334fd63,Z,1,17,17,0,0,0,0,0,0,0,0,1
8,bdfa56b4a693d973,I,0,17,17,0,0,0,0,0,0,0,0,1
9,bdfa56b4a693d973,Z,1,17,17,0,0,0,0,0,0,0,0,1
10,5c4e0b465467c062,O,0,9,9,0,0,0,0,0,0,0,0,1
11,5c4e0b465467c062,I,1,17,17,0,0,0,0,0,0,0,0,1
12,115d57ab02581163,O,0,9,9,0,0,0,0,0,0,0,0,1
13,115d57ab02581163,I,1,17,17,0,0,0,0,0,0,0,0,1
14,f7099b8090611ee3,O,0,9,9,0,0,0,0,0,0,0,0,1
15,f7099b8090611ee3,I,1,17,17,0,0,0,0,0,0,0,0,1
16,60251715f0f63ca2,T,0,34,34,0,0,0,0,0,0,0,0,1
17,60251715f0f63ca2,I,1,17,17,0,0,0,0,0,0,0,0,1
18,93de5c1c8e98ee62,T,0,34,34,0,0,0,0,0,0,0,0,1
19,93de5c1c8e98ee62,I,1,17,17,0,0,0,0,0,0,0,0,1
20,87a62f3100081491,T,0,34,34,0,0,0,0,0,0,0,0,1
21,87a62f3100081491,I,1,17,17,0,0,0,0,0,0,0,0,1
22,f09b3354c4084782,S,0,17,17,0,0,0,0,0,0,0,0,1
23,f09b3354c4084782,T,1,35,34,1,1,0,0,0,0,0,0,1
24,e5088520c47fb162,S,0,17,17,0,0,0,0,0,0,0,0,1
25,e5088520c47fb162,T,1,34,34,0,0,0,0,0,0,0,0,1
26,1eae95271ac5f12d,L,0,34,34,0,0,0,0,0,0,0,0,1
27,1eae95271ac5f12d,S,1,17,17,0,0,0,0,0,0,0,0,1
28,9c7a759b3b8777a2,L,0,34,34,0,0,0,0,0,0,0,0,1
29,9c7a759b3b8777a2,T,1,35,34,1,1,0,0,0,0,0,0,1
30,2d9dc8823224394d,S,1,17,17,0,0,0,0,0,0,0,0,1
31,4ae60a28ebd5af83,I,0,17,17,0,0,0,0,0,0,0,0,1
32,4ae60a28ebd5af83,Z,1,17,17,0,0,0,0,0,0,0,0,1
33,f2666d456a3ea3e3,I,0,17,17,0,0,0,0,0,0,0,0,1
34,f2666d456a3ea3e3,Z,1,17,17,0,0,0,0,0,0,0,0,1
35,19e1056e1b8142e3,O,0,9,9,0,0,0,0,0,0,0,0,1
36,19e1056e1b8142e3,I,1,17,17,0,0,0,0,0,0,0,0,1
37,242166044b6f4963,O,0,9,9,0,0,0,0,0,0,0,0,1
38,242166044b6f4963,I,1,17,17,0,0,0,0,0,0,0,0,1
39,a9798b0c7a12cf23,T,0,34,34,0,0,0,0,0,0,0,0,1
40,a9798b0c7a12cf23,I,1,17,17,0,0,0,0,0,0,0,0,1
41,ed027b02615169da,S,0,17,17,0,0,0,0,0,0,0,0,1
42,ed027b02615169da,T,1,34,34,0,0,0,0,0,0,0,0,1
43,0d3c1cffc96c7cea,L,0,34,34,0,0,0,0,0,0,0,0,1
44,0d3c1cffc96c7cea,T,1,34,34,0,0,0,0,0,0,0,0,1
45,7d81baa1bf1fd16d,L,1,34,34,0,0,0,0,0,0,0,0,1
46,17b56cd7a090a363,I,0,17,17,0,0,0,0,0,0,0,0,1
47,17b56cd7a090a363,Z,1,17,17,0,0,0,0,0,0,0,0,1
48,ac74895e13c00cf7,I,0,17,17,0,0,0,0,0,0,0,0,1
49,ac74895e13c00cf7,Z,1,17,17,0,0,0,0,0,0,0,0,1
50,1f06bea215d8a92b,O,0,9,9,0,0,0,0,0,0,0,0,1
51,1f06bea215d8a92b,I,1,17,17,0,0,0,0,0,0,0,0,1
52,8a142df81ddf0ab3,O,0,9,9,0,0,0,0,0,0,0,0,1
53,8a142df81ddf0ab3,I,1,17,17,0,0,0,0,0,0,0,0,1
54,7c28218cfe9196e3,T,0,34,34,0,0,0,0,0,0,0,0,1
55,7c28218cfe9196e3,I,1,17,17,0,0,0,0,0,0,0,0,1
56,bd884bfaf2fd954c,T,0,34,34,0,0,0,0,0,0,0,0,1
57,bd884bfaf2fd954c,I,1,17,17,0,0,0,0,0,0,0,0,1
58,f7ac04ab956e8e52,S,0,17,17,0,0,0,0,0,0,0,0,1
59,f7ac04ab956e8e52,T,1,34,34,0,0,0,0,0,0,0,0,1
60,941e53d42e33974d,S,0,17,17,0,0,0,0,0,0,0,0,1
61,941e53d42e33974d,T,1,34,34,0,0,0,0,0,0,0,0,1
62,757ae20effa2e812,L,0,34,34,0,0,0,0,0,0,0,0,1
63,757ae20effa2e812,T,1,34,34,0,0,0,0,0,0,0,0,1
64,c8f1809c0b202ab8,S,1,17,17,0,0,0,0,0,0,0,0,1
65,1cbab5cf5cc2eb93,I,0,17,17,0,0,0,0,0,0,0,0,1
66,1cbab5cf5cc2eb93,Z,1,17,17,0,0,0,0,0,0,0,0,1
