seed	leg	metric	value
1	uniques	V_campaign	5882589
1	uniques	L_campaign	8229273
1	uniques	Delta_campaign	-2346684
1	uniques	S_inputs	91515
1	uniques	sumS_delta_distinct	395300
1	uniques	sumS_a	395300
1	uniques	sumS_nV_distinct	2387787
1	uniques	sumS_nLsem_distinct	1992487
1	uniques	sumS_delta_multV	956252
1	uniques	sumS_nV_multV	5882589
1	uniques	sumS_nLsem_multV	4926337
1	uniques	volume_residual_distinct	-2741984
1	uniques	volume_residual_multV	-3302936
1	uniques	V_parents	117589
1	uniques	L_parents	238654
1	uniques	V_enum_calls	225220
1	uniques	L_searches	374002
1	trans	V_campaign	5004447
1	trans	L_campaign	9790109
1	trans	Delta_campaign	-4785662
1	trans	sumS_dC_distinct	43244
1	trans	sumS_nCV_distinct	2035731
1	trans	sumS_nCL_distinct	1992487
1	trans	volume_residual_distinct	-4828906
1	trans	V_merges	124472
1	trans	V_materialized	4879975
1	trans	L_materialized	8117788
2	uniques	V_campaign	6129434
2	uniques	L_campaign	8247506
2	uniques	Delta_campaign	-2118072
2	uniques	S_inputs	93565
2	uniques	sumS_delta_distinct	424325
2	uniques	sumS_a	424325
2	uniques	sumS_nV_distinct	2495584
2	uniques	sumS_nLsem_distinct	2071259
2	uniques	sumS_delta_multV	1010038
2	uniques	sumS_nV_multV	6129434
2	uniques	sumS_nLsem_multV	5119396
2	uniques	volume_residual_distinct	-2542397
2	uniques	volume_residual_multV	-3128110
2	uniques	V_parents	121489
2	uniques	L_parents	239316
2	uniques	V_enum_calls	232788
2	uniques	L_searches	377054
2	trans	V_campaign	5200854
2	trans	L_campaign	9854221
2	trans	Delta_campaign	-4653367
2	trans	sumS_dC_distinct	44634
2	trans	sumS_nCV_distinct	2115893
2	trans	sumS_nCL_distinct	2071259
2	trans	volume_residual_distinct	-4698001
2	trans	V_merges	102465
2	trans	V_materialized	5098389
2	trans	L_materialized	8129794
3	uniques	V_campaign	6114822
3	uniques	L_campaign	8299537
3	uniques	Delta_campaign	-2184715
3	uniques	S_inputs	89701
3	uniques	sumS_delta_distinct	397748
3	uniques	sumS_a	397748
3	uniques	sumS_nV_distinct	2395105
3	uniques	sumS_nLsem_distinct	1997357
3	uniques	sumS_delta_multV	975632
3	uniques	sumS_nV_multV	6114822
3	uniques	sumS_nLsem_multV	5139190
3	uniques	volume_residual_distinct	-2582463
3	uniques	volume_residual_multV	-3160347
3	uniques	V_parents	121773
3	uniques	L_parents	242569
3	uniques	V_enum_calls	233272
3	uniques	L_searches	378223
3	trans	V_campaign	5223718
3	trans	L_campaign	9971816
3	trans	Delta_campaign	-4748098
3	trans	sumS_dC_distinct	46251
3	trans	sumS_nCV_distinct	2043608
3	trans	sumS_nCL_distinct	1997357
3	trans	volume_residual_distinct	-4794349
3	trans	V_merges	104465
3	trans	V_materialized	5119253
3	trans	L_materialized	8190653
