pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
0,999,18381550880827766812,15295429377401983396,legacy,value,1,0,1,0,1,62,58,50,62,61,33,32,2,0,0,6,6,1,0,0,0,0,0
0,999,18381550880827766812,15295429377401983396,value,legacy,-1,1,0,0,2,301,299,322,300,301,212,211,5,3,16,17,17,17,0,0,0,0,0
1,999,2978397693786455620,14160904822368000665,legacy,value,1,0,1,0,1,303,322,300,303,302,215,217,4,3,15,21,15,14,0,0,0,0,0
1,999,2978397693786455620,14160904822368000665,value,legacy,1,0,1,0,1,117,141,113,117,116,75,82,1,0,8,8,5,4,0,0,0,0,0
2,999,3611959969582043022,12333405538903858353,legacy,value,-1,1,0,0,2,229,221,241,228,229,153,147,3,3,10,15,12,13,0,0,0,0,0
2,999,3611959969582043022,12333405538903858353,value,legacy,1,0,1,0,1,575,626,578,575,574,398,419,8,7,33,33,33,26,0,0,0,0,0
3,999,1966814569089966386,14718645008676448025,legacy,value,1,0,1,0,1,197,224,218,197,196,150,144,0,3,17,10,8,12,0,0,0,0,0
3,999,1966814569089966386,14718645008676448025,value,legacy,1,0,1,0,1,163,158,136,163,162,104,107,1,2,7,9,14,7,0,0,0,0,0
4,999,1061570441014347021,3995357556760542966,legacy,value,-1,1,0,0,2,641,663,711,640,641,477,459,5,3,38,32,29,37,0,0,1,0,0
4,999,1061570441014347021,3995357556760542966,value,legacy,-1,1,0,0,2,275,274,265,274,275,177,203,5,1,15,8,15,22,0,0,0,1,0
5,999,13881494196147957349,10653817680852787305,legacy,value,-1,1,0,0,2,87,76,97,86,87,50,54,0,1,4,6,8,5,0,0,0,0,0
5,999,13881494196147957349,10653817680852787305,value,legacy,-1,1,0,0,2,50,35,45,49,50,23,30,1,0,1,4,5,3,0,0,0,0,0
6,999,11721880010386473109,6753196255640073678,legacy,value,1,0,1,0,1,57,65,50,57,56,41,33,0,0,3,4,4,4,0,0,0,0,0
6,999,11721880010386473109,6753196255640073678,value,legacy,-1,1,0,0,2,176,178,175,175,176,110,129,1,3,11,11,11,7,0,0,0,0,0
7,999,838300301244726966,16400508555375571459,legacy,value,1,0,1,0,1,533,583,578,533,532,387,377,3,3,28,39,32,28,0,0,1,1,0
7,999,838300301244726966,16400508555375571459,value,legacy,-1,1,0,0,2,173,166,181,172,173,118,126,2,1,10,8,9,11,0,0,1,1,0
8,999,6878933412138778932,308206459249937845,legacy,value,1,0,1,0,1,219,235,234,219,218,172,150,0,4,8,7,11,14,0,0,0,1,0
8,999,6878933412138778932,308206459249937845,value,legacy,-1,1,0,0,2,44,31,45,43,44,18,23,0,0,3,4,2,1,0,0,0,0,0
9,999,10812897882220379426,16509371001989446701,legacy,value,1,0,1,0,1,237,264,256,237,236,180,170,2,5,14,15,7,10,0,0,0,1,0
9,999,10812897882220379426,16509371001989446701,value,legacy,1,0,1,0,1,58,65,50,58,57,40,33,1,0,2,2,2,4,0,0,0,0,0
10,999,17342512988463562818,10093473021070388655,legacy,value,1,0,1,0,1,782,816,828,782,781,588,560,12,7,37,47,44,44,0,0,0,1,0
10,999,17342512988463562818,10093473021070388655,value,legacy,-1,1,0,0,2,171,193,202,170,171,118,127,2,3,7,11,11,9,0,0,1,0,0
11,999,9132717347322269069,6407121494072224052,legacy,value,1,0,1,0,1,322,310,317,322,321,233,210,3,1,18,23,21,16,0,0,0,0,0
11,999,9132717347322269069,6407121494072224052,value,legacy,1,0,1,0,1,235,242,220,235,234,155,156,0,5,18,17,15,11,0,0,0,0,0
12,999,4029985633286232872,5016019512971635234,legacy,value,1,0,1,0,1,109,104,95,109,108,76,73,2,1,10,6,1,3,0,0,0,0,0
12,999,4029985633286232872,5016019512971635234,value,legacy,-1,1,0,0,2,66,54,67,65,66,34,43,1,1,3,1,5,4,0,0,0,0,0
13,999,11791004477495688812,5984066252381643687,legacy,value,-1,1,0,0,2,26,14,26,25,26,6,17,0,1,3,3,0,0,0,0,1,0,0
13,999,11791004477495688812,5984066252381643687,value,legacy,-1,1,0,0,2,27,18,31,26,27,11,17,0,2,3,2,0,0,0,0,1,0,0
14,999,10338041958978691756,3490964171559443752,legacy,value,1,0,1,0,1,365,377,376,365,364,271,247,2,2,18,19,24,29,0,0,0,0,0
14,999,10338041958978691756,3490964171559443752,value,legacy,-1,1,0,0,2,71,63,81,70,71,40,48,1,1,6,5,3,3,0,0,0,0,0
