pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
0,911,8369600618012349731,6416444733655162416,legacy,value,1,0,1,0,1,59,61,48,59,58,32,25,0,2,4,1,3,4,0,0,0,0,0
0,911,8369600618012349731,6416444733655162416,value,legacy,1,0,1,0,1,37,42,22,37,36,21,18,0,2,1,2,2,1,0,0,0,0,0
1,911,14412179022381535369,16312827483017887472,legacy,value,1,0,1,0,1,471,503,490,471,470,333,324,3,5,27,33,22,22,0,0,0,1,0
1,911,14412179022381535369,16312827483017887472,value,legacy,-1,1,0,0,2,134,131,141,133,134,85,94,0,2,7,8,9,6,0,0,0,0,0
2,911,6396569674600431611,8874086657416478578,legacy,value,1,0,1,0,1,183,196,195,183,182,132,116,2,1,10,9,10,15,0,0,0,0,0
2,911,6396569674600431611,8874086657416478578,value,legacy,-1,1,0,0,2,890,951,922,889,890,632,674,10,11,66,53,38,42,0,0,1,1,0
3,911,16411012856261713464,3892878981209353720,legacy,value,1,0,1,0,1,713,722,769,713,712,545,479,7,6,45,45,32,42,0,0,0,1,0
3,911,16411012856261713464,3892878981209353720,value,legacy,1,0,1,0,1,337,394,351,337,336,236,253,3,4,23,24,15,15,0,0,0,0,0
4,911,13184144210457613184,14170463458923501562,legacy,value,1,0,1,0,1,113,105,97,113,112,72,63,2,0,4,8,8,7,0,0,0,0,0
4,911,13184144210457613184,14170463458923501562,value,legacy,-1,1,0,0,2,337,334,334,336,337,228,243,4,6,23,19,18,13,0,0,0,0,0
5,911,11997237053179047202,9883903162544396092,legacy,value,-1,1,0,0,2,153,138,152,152,153,106,110,1,3,7,9,10,9,0,0,0,0,0
5,911,11997237053179047202,9883903162544396092,value,legacy,-1,1,0,0,2,219,208,239,218,219,151,143,3,2,17,15,7,9,0,0,0,0,0
6,911,14003480012478040425,4859059736134132567,legacy,value,1,0,1,0,1,258,282,270,258,257,185,184,2,2,19,16,10,10,0,0,0,0,0
6,911,14003480012478040425,4859059736134132567,value,legacy,-1,1,0,0,2,205,213,208,204,205,136,148,1,1,16,14,10,8,0,0,0,0,0
7,911,18358848115852900024,14029841040918512645,legacy,value,1,0,1,0,1,110,118,104,110,109,74,73,1,0,7,7,5,5,0,0,0,0,0
7,911,18358848115852900024,14029841040918512645,value,legacy,1,0,1,0,1,362,416,385,362,361,266,281,3,2,21,20,19,15,0,0,0,0,0
8,911,10643041267807006421,17011154192680667379,legacy,value,-1,1,0,0,2,581,637,651,580,581,423,429,7,6,34,36,32,32,0,0,0,0,0
8,911,10643041267807006421,17011154192680667379,value,legacy,-1,1,0,0,2,229,217,225,228,229,145,155,2,2,14,14,14,13,0,0,0,0,0
9,911,7917946879621732755,11189424642438256558,legacy,value,-1,1,0,0,2,301,285,321,300,301,215,204,3,1,21,20,13,18,0,0,0,0,0
9,911,7917946879621732755,11189424642438256558,value,legacy,-1,1,0,0,2,48,35,41,47,48,23,33,2,0,2,4,2,1,0,0,0,0,0
10,911,18344697082036388644,11873623208006948059,legacy,value,1,0,1,0,1,994,1067,1088,994,993,758,725,14,11,51,56,50,55,0,0,0,0,0
10,911,18344697082036388644,11873623208006948059,value,legacy,-1,1,0,0,2,59,42,59,58,59,31,35,3,0,2,4,3,5,0,0,0,0,0
11,911,1080940023890539887,8941537988512331520,legacy,value,-1,1,0,0,2,117,103,122,116,117,70,74,2,1,6,6,8,9,0,0,0,0,0
11,911,1080940023890539887,8941537988512331520,value,legacy,1,0,1,0,1,510,554,499,510,509,345,375,2,8,27,26,36,19,0,0,1,0,0
12,911,1645154279538748150,11735577156122603988,legacy,value,-1,1,0,0,2,138,133,157,137,138,100,100,2,0,7,8,7,8,0,0,0,0,0
12,911,1645154279538748150,11735577156122603988,value,legacy,-1,1,0,0,2,138,141,161,137,138,83,94,0,2,11,12,7,6,0,0,0,0,0
13,911,1468805753392815143,17526892484976262615,legacy,value,-1,1,0,0,2,25,12,26,24,25,5,15,0,0,1,1,2,2,0,0,0,0,0
13,911,1468805753392815143,17526892484976262615,value,legacy,-1,1,0,0,2,98,84,101,97,98,56,60,1,0,4,7,7,8,0,0,0,1,0
14,911,11700794729194796063,4922991719783040302,legacy,value,1,0,1,0,1,257,286,278,257,256,208,193,4,1,15,17,10,15,0,0,0,0,0
14,911,11700794729194796063,4922991719783040302,value,legacy,-1,1,0,0,2,645,696,691,644,645,459,489,7,3,35,45,34,31,0,0,0,0,0
15,911,4755072549445216381,17535810750658357232,legacy,value,-1,1,0,0,2,54,47,82,53,54,38,38,1,0,2,4,3,3,0,0,0,0,0
15,911,4755072549445216381,17535810750658357232,value,legacy,1,0,1,0,1,75,77,60,75,74,48,41,0,0,7,4,3,3,0,0,0,0,0
16,911,8845862207960889750,18340558589207550343,legacy,value,-1,1,0,0,2,449,449,522,448,449,357,311,6,6,30,26,10,22,0,0,1,0,0
16,911,8845862207960889750,18340558589207550343,value,legacy,1,0,1,0,1,82,79,71,82,81,49,41,0,1,8,7,3,3,0,0,0,0,0
17,911,18438373387177085270,7504886437722344150,legacy,value,-1,1,0,0,2,362,393,417,361,362,285,282,5,5,22,21,15,15,0,0,0,0,0
17,911,18438373387177085270,7504886437722344150,value,legacy,-1,1,0,0,2,142,153,160,141,142,97,107,1,2,9,5,9,8,0,0,0,0,0
18,911,5946287644389567238,13921836471428336597,legacy,value,-1,1,0,0,2,176,187,198,175,176,130,141,3,0,9,13,10,5,0,0,0,0,0
18,911,5946287644389567238,13921836471428336597,value,legacy,1,0,1,0,1,259,274,263,259,258,195,179,3,3,11,17,19,14,0,0,0,0,0
19,911,3418832388620203992,7821808594887244613,legacy,value,1,0,1,0,1,115,118,104,115,114,80,69,1,0,7,4,7,7,0,0,0,0,0
19,911,3418832388620203992,7821808594887244613,value,legacy,-1,1,0,0,2,167,168,162,166,167,102,125,1,2,10,4,10,10,0,0,0,0,0
