pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
0,910,18322291271192285932,15854974344552260510,legacy,value,-1,1,0,0,2,94,96,126,93,94,67,66,0,0,7,8,5,3,0,0,0,0,0
0,910,18322291271192285932,15854974344552260510,value,legacy,-1,1,0,0,2,212,206,211,211,212,132,149,3,4,11,17,14,7,0,0,0,0,0
1,910,2501522193354068112,10967562644824395192,legacy,value,1,0,1,0,1,165,178,170,165,164,125,116,3,2,7,8,8,9,0,0,0,0,0
1,910,2501522193354068112,10967562644824395192,value,legacy,-1,1,0,0,2,182,191,204,181,182,136,140,1,5,9,3,12,14,0,0,0,0,0
2,910,9676872483345493652,11490077396828865334,legacy,value,-1,1,0,0,2,236,241,253,235,236,162,165,3,3,17,10,11,14,0,0,0,0,0
2,910,9676872483345493652,11490077396828865334,value,legacy,1,0,1,0,1,168,208,173,168,167,120,124,3,0,10,12,6,6,0,0,1,0,0
3,910,17814008008073911406,3925445385126678396,legacy,value,1,0,1,0,1,985,1002,1068,985,984,761,691,10,5,47,53,54,63,0,0,0,0,0
3,910,17814008008073911406,3925445385126678396,value,legacy,-1,1,0,0,2,71,69,85,70,71,42,48,0,0,4,3,5,5,0,0,0,0,0
4,910,17185949599305952173,9751780328036106507,legacy,value,-1,1,0,0,2,136,127,149,135,136,98,89,2,2,8,5,4,12,0,0,0,0,0
4,910,17185949599305952173,9751780328036106507,value,legacy,1,0,1,0,1,277,291,260,277,276,185,194,5,4,17,8,12,16,0,0,0,0,0
5,910,16859547236073668314,8923546644098705088,legacy,value,-1,1,0,0,2,79,78,89,78,79,49,55,0,0,5,5,5,4,0,1,0,0,0
5,910,16859547236073668314,8923546644098705088,value,legacy,-1,1,0,0,2,215,203,201,214,215,136,151,2,1,11,13,11,12,0,0,0,1,0
6,910,14965712843974722958,16645492102274728365,legacy,value,1,0,1,0,1,119,122,118,119,118,84,78,3,2,8,7,5,7,0,0,0,0,0
